,distance,consume,speed,temp_inside,temp_outside,gas_type,refill liters,refill gas,Fuel Consumption,Price of Consumption
44,5.4,3.3,32,21.5,7,SP98,37.6,SP98,0.17820000000000003,0.260172
45,2.0,9.9,21,21.5,4,SP98,,,0.198,0.28908
46,14.2,5.1,32,21.5,7,SP98,,,0.7242,1.057332
47,16.0,4.9,25,21.5,8,SP98,,,0.784,1.14464
48,11.8,4.9,25,21.5,11,SP98,,,0.5782,0.844172
49,27.3,4.7,36,21.5,10,SP98,,,1.2831000000000001,1.873326
50,11.8,5.1,29,21.5,5,SP98,,,0.6018,0.878628
51,10.6,4.9,63,21.5,6,SP98,,,0.5194,0.7583239999999999
52,11.6,4.2,61,21.5,7,SP98,,,0.4872,0.711312
53,13.1,6.1,46,21.5,6,SP98,,,0.7990999999999999,1.166686
54,6.1,6.4,28,21.5,8,SP98,,,0.39039999999999997,0.5699839999999999
55,153.5,4.9,82,21.5,3,SP98,,,7.5215000000000005,10.981390000000001
56,11.8,4.9,24,21.5,7,SP98,,,0.5782,0.844172
57,12.3,6.2,61,21.5,8,SP98,,,0.7626000000000001,1.113396
58,12.4,4.2,57,21.5,8,SP98,,,0.5208,0.760368
59,12.3,5.7,52,21.5,8,SP98,,,0.7011000000000001,1.023606
60,2.9,7.9,18,21.5,9,SP98,,,0.2291,0.334486
61,2.1,12.2,23,21.5,9,SP98,,,0.2562,0.37405199999999994
62,9.8,5.8,24,21.5,6,SP98,,,0.5684,0.829864
63,6.8,5.3,26,21.5,6,SP98,,,0.3604,0.526184
64,12.4,5.4,24,21.5,7,SP98,,,0.6696000000000001,0.9776160000000002
65,12.4,4.7,57,21.5,8,SP98,,,0.5828,0.850888
66,11.8,4.6,41,21.5,6,SP98,,,0.5428000000000001,0.7924880000000001
67,12.3,5.4,55,21.5,8,SP98,,,0.6642000000000001,0.9697320000000001
68,14.0,4.3,40,21.5,8,SP98,,,0.602,0.8789199999999999
69,11.8,4.5,37,21.5,4,SP98,,,0.531,0.7752600000000001
70,12.3,5.2,55,21.5,12,SP98,,,0.6396000000000001,0.9338160000000001
71,2.0,6.2,20,21.5,10,SP98,,,0.124,0.18104
72,13.9,5.1,29,21.5,6,SP98,,,0.7089,1.034994
73,9.7,3.9,42,21.5,8,SP98,,,0.37829999999999997,0.552318
74,11.6,5.0,25,21.5,6,SP98,,,0.58,0.8467999999999999
75,14.2,5.4,38,21.5,7,SP98,,,0.7668,1.119528
76,11.8,4.5,39,21.5,6,SP98,,,0.531,0.7752600000000001
77,24.8,5.1,50,21.5,9,SP98,,,1.2648,1.8466079999999998
78,12.4,4.7,56,21.5,7,SP98,,,0.5828,0.850888
79,34.8,4.0,28,20.0,4,SP98,,,1.392,2.03232
80,14.2,5.4,36,20.0,6,SP98,,,0.7668,1.119528
81,5.2,4.5,39,20.0,10,SP98,,,0.23399999999999999,0.34163999999999994
82,10.5,3.6,42,20.0,10,SP98,37.7,SP98,0.37800000000000006,0.55188
83,12.3,5.2,57,20.0,10,SP98,,,0.6396000000000001,0.9338160000000001
84,11.8,4.9,25,20.0,11,SP98,,,0.5782,0.844172
85,12.3,6.2,58,20.0,11,SP98,,,0.7626000000000001,1.113396
86,13.2,4.3,51,20.0,11,SP98,,,0.5675999999999999,0.8286959999999998
